# NIFS-5 full DEBUG log (includes feed spam)  2026-08-17 08:45 -> 2026-08-17 15:45 IST
2026-08-17 08:45:00 | INFO     | nifs5.state_engine | ======================================================================
2026-08-17 08:45:00 | INFO     | nifs5.state_engine | PRE-MARKET AUTOMATION STARTING (08:45 IST)
2026-08-17 08:45:00 | INFO     | nifs5.state_engine | ======================================================================
2026-08-17 08:45:00 | INFO     | nifs5.system_state | Daily state reset for 2026-08-17 (prior=2026-08-17)
2026-08-17 08:45:00 | INFO     | nifs5.ntp_sync | NTP sync: offset=0.031s
2026-08-17 08:45:00 | INFO     | nifs5.ntp_sync | NTP sync: offset=0.031s
2026-08-17 08:45:00 | INFO     | nifs5.kotak_auth | Generated TOTP token (6-digit)
2026-08-17 08:45:00 | INFO     | nifs5.kotak_auth | Kotak TOTP login response received — view session established
2026-08-17 08:45:00 | INFO     | nifs5.kotak_auth | Kotak MPIN validation complete — trade session active (edit_token set)
2026-08-17 08:45:01 | INFO     | nifs5.state_engine | Core Task A complete — Kotak Neo live session authenticated hands-free
2026-08-17 08:45:01 | INFO     | nifs5.ntp_sync | NTP sync: offset=0.032s
2026-08-17 08:45:01 | INFO     | nifs5.iifl_client | [IIFLClient] auto-login step 1/7 — vendor/details
2026-08-17 08:45:01 | INFO     | nifs5.iifl_client | [IIFLClient] auto-login step 2-3/7 — RSA key exchange (encKey)
2026-08-17 08:45:01 | INFO     | nifs5.iifl_client | [IIFLClient] auto-login step 4/7 — pwd/validate (client=SKYADAVG)
2026-08-17 08:45:01 | INFO     | nifs5.iifl_client | [IIFLClient] auto-login step 5/7 — topt/verify
2026-08-17 08:45:01 | INFO     | nifs5.iifl_client | [IIFLClient] auto-login step 6/7 — sso/vendor/authorize
2026-08-17 08:45:02 | INFO     | nifs5.iifl_client | [IIFLClient] auto-login step 7/7 — getusersession (client_id=SKYADAVG auth_code_len=20 app_secret_len=100)
2026-08-17 08:45:02 | INFO     | nifs5.credential_vault | Stored encrypted credentials for provider: iifl_session
2026-08-17 08:45:02 | INFO     | nifs5.iifl_client | [IIFLClient] automated login successful for client SKYADAVG
2026-08-17 08:45:02 | INFO     | nifs5.state_engine | Core Task A.2 complete — IIFL Capital session authenticated hands-free
2026-08-17 08:45:02 | INFO     | nifs5.tradingview_ws | [TradingViewWS] connected (premium) for NSE:NIFTY
2026-08-17 08:45:02 | INFO     | nifs5.state_engine | Core Task B complete — TradingView premium sessionid verified
2026-08-17 08:45:04 | INFO     | nifs5.kotak_client | [KotakClient] downloading scrip master CSV for nse_fo from https://lapi.kotaksecurities.com/wso2-scripmaster/v1/prod/2026-08-17/transformed/nse_fo.csv
2026-08-17 08:45:09 | INFO     | nifs5.kotak_client | [KotakClient] scrip master CSV downloaded for nse_fo — 26230515 bytes
2026-08-17 08:45:18 | INFO     | nifs5.nfo_sync | [NFOSync] cached 79088 NFO derivative contracts across all underlyings
2026-08-17 08:45:19 | INFO     | nifs5.kotak_client | [KotakClient] downloading scrip master CSV for nse_cm from https://lapi.kotaksecurities.com/wso2-scripmaster/v1/prod/2026-08-17/transformed-v1/nse_cm-v1.csv
2026-08-17 08:45:19 | INFO     | nifs5.kotak_client | [KotakClient] scrip master CSV downloaded for nse_cm — 4139918 bytes
2026-08-17 08:45:20 | INFO     | nifs5.nfo_sync | [NFOSync] cached 12720 NSE cash-equity instruments
2026-08-17 08:45:21 | INFO     | nifs5.nfo_sync | [NFOSync] lot-size resolution map rebuilt — 214 underlyings resolvable
2026-08-17 08:45:21 | INFO     | nifs5.state_engine | Core Task C complete — NFO/CM instrument masters synced
2026-08-17 08:45:22 | INFO     | nifs5.iifl_nfo_sync | [IIFLNfoSync] cached 3987 option/futures instruments from IIFL for underlyings=['NIFTY']
2026-08-17 08:45:22 | INFO     | nifs5.state_engine | Core Task C.2 complete — IIFL NSEFO instrument cache synced
2026-08-17 08:45:22 | DEBUG    | nifs5.iifl_eq_sync | [IIFLEqSync] no CASH_STOCK script routed to IIFL — skipping NSEEQ download
2026-08-17 08:45:22 | INFO     | nifs5.state_engine | Core Task C.3 complete — IIFL NSEEQ instrument cache synced
2026-08-17 08:45:22 | INFO     | nifs5.state_engine | Core Task C.4 complete — master catalogs refreshed for dropdowns
2026-08-17 08:45:22 | INFO     | nifs5.margin_checker | [MarginChecker] no LIVE scripts — margin freeze gate skipped
2026-08-17 08:45:22 | INFO     | nifs5.state_engine | Core Task D complete — margin requirement satisfied
2026-08-17 08:45:22 | INFO     | nifs5.state_engine | PRE-MARKET AUTOMATION COMPLETE — system armed for opening bell
2026-08-17 08:56:23 | INFO     | nifs5.script_registry | [ScriptRegistry] NIFTY removed — worker thread terminated, feed torn down
2026-08-17 09:02:48 | INFO     | nifs5.feed_manager | [FeedManager] NIFTY dual-anchor: price=SPOT(token=Nifty 50) volume=FUT(token=58072, expiry=2026-08-25)
2026-08-17 09:02:48 | INFO     | nifs5.iifl_client | [IIFLClient] IIFL Capital session reused (client=SKYADAVG) — cached token for 2026-08-17 (no new login). Send /iifl_login to force fresh login.
2026-08-17 09:02:49 | INFO     | nifs5.iifl_client | [IIFLClient] historicaldata ok — 772 bars (lookback=14d, interval=5 minutes, symbol=NIFTY)
2026-08-17 09:02:49 | INFO     | nifs5.candle_history_store | [CandleHistory] saved 400 bars for NIFTY (5m) → NIFTY_5m.json
2026-08-17 09:02:49 | INFO     | nifs5.candle_warmup | [CandleWarmup] NIFTY cross-check ok ({'compared': 20, 'mismatches': 0, 'ok': True, 'note': 'ok'})
2026-08-17 09:02:49 | INFO     | nifs5.feed_manager | [FeedManager] NIFTY warmup ok source=iifl+local bars=400 active=kotak (sticky)
2026-08-17 09:02:50 | INFO     | nifs5.iifl_client | [IIFLClient] historicaldata ok — 778 bars (lookback=14d, interval=5 minutes, symbol=NIFTY[NSEFO:58072])
2026-08-17 09:02:50 | INFO     | nifs5.candle_history_store | [CandleHistory] saved 400 bars for NIFTY (5m) → NIFTY_VOL_5m.json
2026-08-17 09:02:50 | INFO     | nifs5.candle_warmup | [CandleWarmup] NIFTY volume cross-check ok ({'compared': 20, 'mismatches': 0, 'ok': True, 'note': 'ok'})
2026-08-17 09:02:50 | WARNING  | nifs5.candle_buffer | ACTIVE DATA SOURCE SWITCHED: kotak -> iifl
2026-08-17 09:02:50 | INFO     | nifs5.feed_manager | [FeedManager] NIFTY volume catchup ok source=iifl+local bars=400 active=iifl
2026-08-17 09:02:50 | INFO     | nifs5.kotak_feed | [KotakFeed-NIFTY-PRICE] Kotak live quote→5m bar worker started — token=Nifty 50 exchange=nse_cm is_index=True timeframe=5m poll=5s (no history API; TF from active_scripts row)
2026-08-17 09:02:50 | INFO     | nifs5.iifl_feed | [IIFLFeed-NIFTY-PRICE] IIFL live quote→5m bar worker started — symbol=NIFTY timeframe=5minute poll=5s
